연도,캠페인유형,캠페인,광고그룹,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B05_고양이캠_MO@cpc_mc05_h,669328,23514,475,95,1300400,1.942844166,0.02020073148,0.2
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B06_육아캠_MO@cpc_mc05_h,4244911,173139,3522,669,15210560,3.583245915,0.02034203732,0.1899488927
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B07_맞벌이부부캠_MO@cpc_mc05_h,18907570,797111,11178,4086,91178110,4.82230715,0.01402314107,0.3655394525
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B08_보안캠_MO@cpc_mc05_h,149116,19677,220,14,813400,5.454813702,0.01118056614,0.06363636364
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B09_부모님캠_MO@cpc_mc05_h,492052,25107,745,52,974100,1.979668815,0.02967299956,0.06979865772
2025,쇼핑검색,01.홈캠_MO@naver_shoppingsearch,1.B10_스마트캠_MO@cpc_mc05_h,200948,40676,214,18,613500,3.053028644,0.005261087619,0.08411214953
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch, 1.A01_홈카메라_PC@cpc_MC0510_h-s,1281181,139142,1131,162,15142840,11.81943847,0.008128386828,0.1432360743
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch, 1.A01_홈카메라_PC@cpc_MC0511_h-s,1062314,161109,1317,165,16404490,15.4422233,0.008174589874,0.125284738
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch, 1.A01_홈카메라_PC@cpc_ic05_h-s,187066,47325,308,20,1328280,7.100595512,0.006508188061,0.06493506494
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch, 1.A01_홈카메라_PC@cpc_mc058_h-s,320419,83946,379,43,4317680,13.47510603,0.004514807138,0.1134564644
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch, 1.A01_홈카메라_PC@cpc_mc059_h-s,297858,166367,331,31,3158260,10.60324047,0.00198957726,0.09365558912
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch, 1.A01_홈카메라_PC@cpc_mc05_h-s,126940,23643,123,22,1978440,15.58563101,0.005202385484,0.1788617886
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.A01_홈카메라_PC@cpc_mc05,5472027,589430,2543,606,16007790,2.925385785,0.00431433758,0.238301219
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.A02_홈캠_PC@cpc_IC021_h-s,1603415,909686,2081,32,3120120,1.945921673,0.002287602535,0.01537722249
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.A02_홈캠_PC@cpc_mc05_h,5164511,144041,2848,546,14680290,2.842532429,0.01977214821,0.1917134831
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.A03_홈CCTV_PC@cpc_mc05,672419,25970,385,60,1418000,2.108804183,0.01482479784,0.1558441558
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B01_홈카메라_PC@cpc_mc05,645590,14735,277,44,675700,1.046639508,0.01879877842,0.1588447653
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B02_홈캠_PC@cpc_mc05,717332,11058,376,62,1303600,1.817289623,0.0340025321,0.164893617
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B03_홈CCTV_PC@cpc_mc05,1943073,59700,1103,117,3755800,1.9329176,0.01847571189,0.1060743427
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B04_강아지캠_PC@cpc_mc05,43219,4894,60,0,0,0,0.01225991009,0
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B05_고양이캠_PC@cpc_mc05,517,741,2,0,0,0,0.002699055331,0
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B06_육아캠_PC@cpc_mc05,5839515,114121,3005,757,18425060,3.155238063,0.02633170056,0.2519134775
2025,쇼핑검색,01.홈캠_PC@naver_shoppingsearch,1.B07_맞벌이부부캠_PC@cpc_mc05,2057,24336,5,0,0,0,0.0002054569362,0
