월,캠페인,"총비용(VAT포함,원)",노출수,클릭수,전환수,전환매출액(원),ROAS,CTR,CVR
2025-04,04.리모컨허브_확장_PC@naver_powerlink,6677,251,4,0,0,0.0,0.01593625498007968,0.0
2025-04,04.센서_PC@naver_shoppingsearch,370337,66977,515,104,1180880,3.1886632985632004,0.0076892067426131356,0.20194174757281552
2025-04,05.전원_MO@naver_shoppingsearch,1284239,112461,1913,347,5259200,4.095187889481631,0.01701034136278354,0.18139048614741243
2025-04,05.전원_PC@naver_shoppingsearch,495594,82895,613,84,2668400,5.384245975536427,0.007394897159056638,0.1370309951060359
2025-04,05.커튼set_메인_MO@naver_powerlink,2473625,65566,1136,173,8111600,3.2792359391581183,0.01732605313729677,0.1522887323943662
2025-04,05.커튼set_메인_PC@naver_powerlink,307241,55671,259,18,0,0.0,0.004652332453162328,0.0694980694980695
2025-04,05.커튼set_확장_MO@naver_powerlink,5940,1970,21,3,515000,86.7003367003367,0.01065989847715736,0.14285714285714285
2025-04,05.커튼set_확장_PC@naver_powerlink,6919,762,12,1,0,0.0,0.015748031496062992,0.08333333333333333
2025-04,06.멀티탭_메인_MO@naver_powerlink,23386,61840,36,0,0,0.0,0.0005821474773609315,0.0
2025-04,06.멀티탭_메인_PC@naver_powerlink,41250,50835,50,2,0,0.0,0.000983574309039048,0.04
2025-04,07.MO_new전환@naver_powerlink,9119,831,11,0,0,0.0,0.013237063778580024,0.0
2025-04,07.PC_new전환@naver_powerlink,2398,689,3,0,0,0.0,0.0043541364296081275,0.0
2025-04,07.반려_MO@naver_shoppingsearch,1168651,363135,1026,120,3002700,2.5693727211973463,0.002825395514065017,0.11695906432748537
2025-04,07.반려_PC@naver_shoppingsearch,148786,181616,146,27,1010300,6.790289408949767,0.0008038939300502158,0.18493150684931506
2025-04,08.리빙_MO@naver_shoppingsearch,732622,70641,747,135,1079990,1.4741435556125806,0.010574595489871321,0.18072289156626506
2025-04,08.리빙_PC@naver_shoppingsearch,234883,53830,265,54,467300,1.989501155894637,0.00492290544306149,0.2037735849056604
2025-04,08.전원_메인_MO@naver_powerlink,220979,42992,272,15,180500,0.8168196977993384,0.006326758466691477,0.05514705882352941
2025-04,08.전원_메인_PC@naver_powerlink,117975,24197,154,23,382700,3.2439076075439712,0.006364425341984544,0.14935064935064934
2025-04,08.전원_확장_MO@naver_powerlink,836,392,6,0,0,0.0,0.015306122448979591,0.0
2025-04,08.전원_확장_PC@naver_powerlink,1397,379,4,0,0,0.0,0.010554089709762533,0.0
2025-04,09.로청_MO@naver_shoppingbrand,330,138,1,0,0,0.0,0.007246376811594203,0.0
2025-04,09.로청_PC@naver_shoppingbrand,671,1462,2,0,0,0.0,0.0013679890560875513,0.0
2025-04,09.센서_메인_MO@naver_powerlink,14355,1360,27,11,59800,4.165795889933821,0.019852941176470587,0.4074074074074074
2025-04,09.센서_메인_PC@naver_powerlink,10890,2476,30,0,0,0.0,0.012116316639741519,0.0
